Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
1162629249087527.2,1166125512791.728,0.06119694125441165,0.7136175315338671,1538153636868.5376,1569172784023.6335,0.2683382988459389,0.19123571673481013,0.684501,0.981225,1.6110410425231272,1.7185815937253541
870186067843970.4,44234416212.7031,0.02716292926374233,0.7023275296840349,221171342936.48447,979862617240.768,1.435813882512046,1.435813882512046,0.8273459999999999,1.152749,0.942001195789142,1.2935411033790394
734327939495515.5,3318065027970.457,0.02120493750955488,0.7326962500303509,2842939482753.323,3318065027970.457,1.1771902893995831,1.1771902893995831,0.781616,1.131106,0.9248474555520494,0.9248474555520494
802316108042209.8,64524814369.276215,0.05747152990599037,0.7088276200584654,3851565627745.9375,4167961432106.351,0.08246467216403754,0.08246467216403754,0.418178,0.524972,1.5772020721251376,1.8648595364996527
1499069378251438.5,2885775438652.8804,0.05169618236740448,0.7044664884923293,6355864045093.058,6355864045093.058,0.4557915901521305,0.3665746434446528,0.710946,0.981225,1.208901421829896,1.4185124310974355
773608581528389.9,1058985188395.864,0.0361658800718197,0.6958836277400906,1221812429707.5332,1246267328472.6736,0.31783065329817684,0.31783065329817684,0.781616,1.019134,1.5001340781038914,1.5574657923019553
697932036909754.8,4875923316844.903,0.05463346255581441,0.7161333341051502,3635229065264.4014,6870502280508.124,0.6471897986490505,0.19277085370823455,0.710946,0.936925,0.7214332805990517,1.8055789594375065
783731165604490.4,390841941459.3796,0.0533829961173973,0.6661234538169093,1375824256189.069,1375824256189.069,0.19877943121997974,0.19877943121997974,0.6413260000000001,0.759707,1.8824453704320925,1.8824453704320925
1101821282918097.4,390299841607.0901,0.036856851750994235,0.7142697465903768,1021516989069.4238,1190128532608.5671,0.3002059285601203,0.2136616670451251,0.45974499999999996,0.684501,1.1999335970354197,1.5066629924591486
1461546502733896.5,317971935480.0591,0.03930049388851408,0.7027683675840757,,886706048945.347,0.2911930976906517,0.07104627131844644,,0.9628030000000001,0.8450408786756042,1.5479663224340792
678926152387875.9,1091236354268.833,0.029452820700324314,0.7112690186244245,333087155615.9527,1415608577134.4165,0.03464707880113317,0.03464707880113317,0.665315,0.9182459999999999,1.533527764597432,2.0579808644620443
1335203806626977.8,428754807870.0148,0.055694145624770236,0.6583667268419595,1099360398180.2068,2120635184779.9111,0.15950437431299064,0.15950437431299064,0.29172,0.545254,1.6243868844069516,1.6243868844069516
774741502069979.2,257064984200.88626,0.06444218033136524,0.7166031330624948,476119669223.0428,1049601149542.0974,0.12087618865400886,0.12087618865400886,0.710946,1.0,1.7674394410367062,1.7674394410367062
712259977627415.0,733186129677.9911,0.04956854513442086,0.6606373866228679,1226045745536.189,1413313171474.1506,0.2801827035939781,0.2801827035939781,0.326854,0.524972,0.8111231704675067,0.9906995374948988
1297932019370162.5,739438719054.6528,0.04829305724991188,0.7410572937351825,2046174285140.3247,3846277830901.0337,0.11558428686319247,0.11558428686319247,0.482054,0.8512049999999999,1.2805377873293702,1.3321874405910452
729050228805577.5,188872973234.85965,0.016607829773222064,0.691343901077626,603644012903.9882,881019227887.74,0.1476552809533367,0.1476552809533367,0.524972,0.731448,1.5502708964094138,1.7646990751239942
1034416525330150.6,256031025536.18906,0.04229025678364904,0.6845334982393251,854948290741.5066,1511078266138.8477,0.1259776385568719,0.11096019073848253,0.593799,0.8041560000000001,1.6763721839529668,1.7188649862619678
1592319077752626.2,3532245194682.4224,0.02944356378797221,0.6923021293912273,873756251509.6011,5012806627261.447,0.08190245669097128,0.041433463926030784,0.380368,0.571712,1.551603924844538,1.551603924844538
